"LUGAR","lon","lat"
"CORREDERA BAJA DE SAN PABLO 6           ",-3.7046481,40.4217314
"PADRE LLANOS-VECINOS DEL POZO           ",-3.6592774,40.3759744
"ESTEBAN COLLANTES 3                     ",-3.6431368,40.4306631
"BRAVO MURILLO 275                       ",-3.699293,40.4600199
"CONVENIO 1                              ",-3.67227,40.3938599
"ESTAÑO 8                                ",-3.702702,40.344108
"VELAZQUEZ-JORGE JUAN                    ",-3.6839467,40.4229128
"AV REAL DE PINTO                        ",-3.709788,40.3381922
"ALGODONALES 19                          ",-3.7011362,40.4604576
"FOMENTO 22                              ",-3.710543,40.4214163
"PZ MAYOR DE BARAJAS 6                   ",-3.5781779,40.4737767
"AV ALBUFERA M 30 LATERAL                ",-3.6497547,40.3911756
"AV SAN LUIS-ARTURO SORIA                ",-3.6682811,40.4757453
"M 30 KM 16,600 CALZADA 1                ",-3.7224778,40.4210557
"LOPEZ DE HOYOS-G FDEZ BALBUENA          ",-3.6670727,40.4487905
"PERALES DEL RIO-AV MAYORAZGO            ",-3.6572523,40.3236741
"AV ALBUFERA-DOCTOR SALGADO              ",-3.6652789,40.3962496
"AV PESETA 78                            ",-3.7527037,40.3618081
"PO CASTELLANA 212                       ",-3.688927,40.463519
"AV CANILLEJAS A VICALVARO               ",-3.6114963,40.4265121
"PUENTE CAPUCHINOS                       ",-3.7796726,40.5207704
"MIGUEL ANGEL 25                         ",-3.6914243,40.4369226
"ALCOCER-AV ANDALUCIA                    ",-3.693155,40.3510662
"ALFONSO XII FTE 48                      ",-3.689334,40.4171675
"PZ BEATA MARIA ANA DE JESUS 12          ",-3.69538,40.3944199
"AV SAN DIEGO 132                        ",-3.665817,40.3846956
"AV PLAZA DE TOROS 3                     ",-3.7375004,40.385436
"MATILDE HERNANDEZ                       ",-3.73529,40.3887231
"MATILDE HERNANDEZ 101                   ",-3.7377711,40.3860938
"PO PRADO FAROLA 47                      ",-3.7060897,40.4163163
"PTE FRANCESES-AV VALLADOLID             ",-3.7332874,40.4330429
"MARTIRES DE ALCALA-PRINCESA             ",-3.7139245,40.4273959
"PO PRADO FAROLA 43                      ",-3.7060897,40.4163163
"ILLESCAS-YEBENES                        ",-3.75214,40.38979
"BOCANGEL 7                              ",-3.6638536,40.4295702
"ALMAGRO 31                              ",-3.6919208,40.4322795
"SANTIAGO DE COMPOSTELA 36               ",-3.70228,40.4833809
"AV ALBUFERA 1                           ",-3.6687014,40.3983467
"ALFONSO XII FTE 50                      ",-3.6887651,40.4130583
"AV ALBERTO ALCOCER TUNEL                ",-3.6833847,40.4587142
"RUIZ",-3.6963975,40.4068864
"ALBERTO AGUILERA-MRES ALCALA            ",-3.7106672,40.4300389
"VALMOJADO-OCAÑA                         ",-3.75947,40.38677
"AV EURO-AGUACATE                        ",-3.7418894,40.3682097
"SAN MARIO-SAN MAXIMO                    ",-3.692575,40.3760402
"SAN LUCAS 21",-3.6952084,40.4237108
"ALFONSO XII 42                          ",-3.6892098,40.4131536
"ALFONSO XII FTE 44                      ",-3.689334,40.4171675
"FERNANDO POO 22                         ",-3.6998809,40.3975125
"MAQUEDA-TEMBLEQUE                       ",-3.7634701,40.3921049
"AV OPORTO 70                            ",-3.7266359,40.3860481
"AV ALBUFERA-AV RAFAEL ALBERTI           ",-3.640181,40.3874366
"MATILDE HERNANDEZ 96                    ",-3.7376576,40.3864988
"AQUITANIA 49                            ",-3.6152107,40.4199478
"AV PABLO IGLESIAS 48                    ",-3.7098936,40.4498538
"SAN BERNARDO 120                        ",-3.7047308,40.4318807
"ALFONSO XII 50                          ",-3.6890051,40.4122964
"BRAVO MURILLO 249                       ",-3.700316,40.4590585
"SAN CIPRIANO-CAÑOS SAN PEDRO            ",-3.6022317,40.4038888
"AV OPORTO 86                            ",-3.7285503,40.3867754
"PO PINTOR ROSALES 8                     ",-3.7177039,40.4255434
"MARQUES DE VIANA-FERELUZ                ",-3.7018223,40.4623982
"JOSE ABASCAL 18                         ",-3.6991015,40.4382727
"PZ ESPAÑA 9                             ",-3.7137266,40.4219684
"GRAN VIA 44                             ",-3.705459,40.4205733
"PUERTO DE PORZUNA 30                    ",-3.6228532,40.3745578
"VILLABLANCA 71                          ",-3.6017024,40.4065942
"ALMAGRO 40                              ",-3.6918558,40.4316308
"TUNEL M 30 KM 14XL84                    ",-3.7224778,40.4210557
"PUERTO DE BALBARAN-C AURIOLES           ",-3.6675389,40.3815959
"PUERTO PORZUNA 30                       ",-3.6228532,40.3745578
"ALCALA 248                              ",-3.6554125,40.4319461
"BELLVER 1                               ",-3.7050805,40.4619008
"AV ALBERTO ALCOCER TUNEL M 30           ",-3.6833847,40.4587142
"ALHAMBRA 50                             ",-3.702378,40.415995
"M 30 CALZADA 1 MENDEZ ALVARO            ",-3.6748806,40.3917495
"PRADO FAROLA 43                         ",-3.7060897,40.4163163
"CAVANILLES 8                            ",-3.6782451,40.4068407
"ALMAGRO 44                              ",-3.6913873,40.4323716
"YEBENES A 5                             ",-3.7537907,40.3958196
"OCAÑA 124                               ",-3.7520645,40.3882438
"AV RAMON Y CAJAL M 30                   ",-3.6768954,40.4518863
"DESENGAÑO 13                            ",-3.7044152,40.4210256
"GENERAL RICARDOS 252                    ",-3.7418992,40.3830865
"M 30 CALZADA 1 EMBAJADORES              ",-3.6748806,40.3917495
"VILLAJIMENA 14                          ",-3.6070256,40.4070604
"CORAZON DE MARIA-CANILLAS               ",-3.6675339,40.4435986
"AV ALBUFERA-SIERRA DE CADI              ",-3.660048,40.3934994
"BARCELO 2                               ",-3.6996088,40.4266941
"PZ INDEPENDENCIA 4                      ",-3.6891297,40.4206436
"PINAR 8                                 ",-3.6880369,40.4374906
"ALBARRACIN 18                           ",-3.6346644,40.4373285
"TRAFALGAR 9                             ",-3.7006557,40.4313853
"GOMEZ DE ARTECHE 8                      ",-3.753587,40.3701778
"GENERAL RICARDOS-VALLE DE ORO           ",-3.7317156,40.3885432
"PADRE DAMIAN-J LAZARO GALDIANO          ",-3.686082,40.4575426
"PONZANO 60                              ",-3.6989767,40.4416203
"AV POBLADOS-VALMOJADO                   ",-3.7618985,40.3858268
"PZ ESPAÑA-REYES                         ",-3.8282223,40.3495676
"AV ALBUFERA-PEDRO LABORDE               ",-3.6466866,40.3902485
"MARQUES DE VIANA 18                     ",-3.7002443,40.4619759
"AV ALBUFERA 250                         ",-3.644628,40.3891735
"RDA SUR-ANDEVALO                        ",-3.6671393,40.3735186
"GUZMAN EL BUENO 64                      ",-3.7128466,40.4374453
"AV GRAN VIA DE HORTALEZA 5              ",-3.65783,40.4674172
"SAN SINESIO 4                           ",-3.7425167,40.3878949
"MAQUEDA 43                              ",-3.763629,40.392687
"AV ALBUFERA 264                         ",-3.6416736,40.387763
"BOIX Y MORER-AV FILIPINAS               ",-3.7063821,40.4414268
"CTRA VILLAVERDE A VALLECAS              ",-3.6513359,40.3685515
"ALEJANDRO MORAN 55                      ",-3.7292486,40.3854967
"AV PALOMERAS 9                          ",-3.658779,40.3896117
"AV POBLADOS-AV RAFAELA YBARRA           ",-3.713195,40.37358
"CRA SAN JERONIMO 30                     ",-3.6992825,40.4164749
"JUAN NAVARRO-AV MONTE IGUELDO           ",-3.6686698,40.3957789
"PO PINTOR ROSALES-PO MORET              ",-3.7216396,40.4288477
"TAMAJON 4                               ",-3.7670685,40.4591957
"LOPEZ DE HOYOS SN FAROLA 226            ",-3.6810046,40.4399802
"AV EUROVILLA-AV FELICIDAD               ",-3.6892691,40.3589037
"MARTIRES ALCALA-A AGUILERA              ",-3.711924,40.4301704
"ACONCAGUA-NEVADO DEL CUMBAL             ",-3.63109,40.46886
"GENERAL CASTAÑOS 15                     ",-3.6936858,40.4262945
"AV CARABANCHEL ALTO 62                  ",-3.753296,40.3700456
"EZCARAY 56                              ",-3.6128563,40.4110168
"PZ ESPAÑA 1                             ",-3.71095,40.423173
"PO PINTOR ROSALES FTE 8                 ",-3.7217838,40.427922
"FERNANDEZ RIOS-GAZTAMBIDE               ",-3.7144964,40.4353653
"AV PLANETARIO TUNEL                     ",-3.6852673,40.3926187
"PO DELICIAS 81                          ",-3.6939024,40.3968306
"ALBERTO AGUILERA 33                     ",-3.7135166,40.4302156
"ALFONSO XII                             ",-3.6887651,40.4130583
"PZ CARDENAL CISNEROS SN                 ",-3.7256136,40.440885
"BARBARA DE BRAGANZA 6                   ",-3.693337,40.4235053
"PUENTE FRANCESES                        ",-3.7351357,40.4342486
"PRADILLO 26                             ",-3.6733582,40.4486812
"PZ CARDENAL CISNEROS                    ",-3.7256136,40.440885
"PINTORA ANGELES SANTOS 2                ",-3.6692333,40.396948
"VICENTE ESPINEL 34                      ",-3.6416125,40.4325991
"ALCALA 79                               ",-3.6866562,40.4206736
"PZ CA.CISNEROS S/N                      ",-3.7104378,40.4148669
"PZ REPUBLICA ARGENTINA SN               ",-3.6851015,40.4453012
"ORENSE 3                                ",-3.6957268,40.4471429
"PO CASTELLANA 216                       ",-3.6882605,40.466719
"A 42 PTE PRAGA                          ",-3.7046366,40.3951031
"AV REAL DE PINTO M 45                   ",-3.7068401,40.3444912
"ALCALA-ALCALDE LUIS SILVELA             ",-3.5990517,40.449899
"MAQUEDA 149                             ",-3.7613611,40.3875178
"CARDENAL CISNEROS SN                    ",-3.7023004,40.4324505
"SILVANO 140 M 40                        ",-3.6307912,40.4625231
"TRAFALGAR 7                             ",-3.7005103,40.4311457
"AV PLANETARIO TUNEL 04ET                ",-3.6852673,40.3926187
"AV INSTITUCION LIBRE ENSEÑANZA          ",-3.6297179,40.4263095
"AV CORDOBA FAROLA 60                    ",-3.697365,40.3821578
"PO ERMITA DEL SANTO FAROLA 67           ",-3.7246539,40.4070018
"GTA FRANCISCO BAYEU Y SUBIAS            ",-3.7356247,40.4731361
"FERNANDO MORA 2                         ",-3.7377351,40.3957939
"GTA RUIZ JIMENEZ 3                      ",-3.705957,40.4300468
"SATURNINO TEJERA 2                      ",-3.7442033,40.3855318
"CASALARREINA 21                         ",-3.613926,40.4085609
"MARIA ODIAGA 2                          ",-3.7399825,40.3795096
"PZ REMONTA                              ",-3.6971139,40.4639312
"DIEGO DE LEON 39                        ",-3.679973,40.4350641
"AV EUROPA 27                            ",-3.7871298,40.4450846
"SERRANO 9                               ",-3.6885887,40.4220509
"JOSE BARDASANO BAOS-C D AZUL            ",-3.6722952,40.4679969
"SANTA LUCRECIA-EVORA                    ",-3.7182455,40.3868108
"PO RECOLETOS 37 CARRIL CENTRAL          ",-3.6914074,40.4243701
"AV POBLADOS 48                          ",-3.7650759,40.38799
"AV PLANETARIO TUNEL 04FT                ",-3.6852673,40.3926187
"BRAVO MURILLO 101                       ",-3.7040748,40.4475018
"GTA GENERAL CISNEROS                    ",-3.7023004,40.4324505
"VELAZQUEZ 4                             ",-3.6841534,40.4216348
"EUGENIA MONTIJO-GRAL RICARDOS           ",-3.7451049,40.3806492
"PO RECOLETOS 21                         ",-3.6923765,40.4223074
"MAYOR 3                                 ",-3.7072766,40.4149602
"MANUEL LAGUNA-AV SAN DIEGO              ",-3.6641719,40.3826661
"GENERAL PARDIÑAS 90                     ",-3.6778815,40.432972
"AV MORATALAZ 193                        ",-3.6425664,40.4094249
"SIERRA DE GUADALUPE 23                  ",-3.62484,40.38173
"PO CASTELLANA-PZ LIMA                   ",-3.689517,40.4533356
"FERRAZ 30                               ",-3.7165187,40.4256701
"APOSTOL SANTIAGO 58                     ",-3.6544423,40.4279818
"GTA FRANCISCO BAYEU SUBIAS SN           ",-3.7356247,40.4731361
"COSTA RICA 28                           ",-3.6728611,40.4581193
"DOCTOR ESQUERDO-O'DONNELL               ",-3.66903,40.42121
"GRAN VIA 17                             ",-3.70057,40.41983
"VALVERDE-GRAN VIA                       ",-3.7023222,40.4200661
"AV NICETO ALCALA ZAMORA M 40            ",-3.6531421,40.4978322
"SERRANO-JOSE ORTEGA Y GASSET            ",-3.686929,40.4304561
"AV BADAJOZ 60                           ",-3.6535034,40.4423351
"AV ALBUFERA 29                          ",-3.6664633,40.3972045
"PO SAN FRANCISCO DE SALES               ",-3.71441,40.44121
"GENOVA 24                               ",-3.6926013,40.425903
"AV SAN DIEGO-MANUEL LAGUNA              ",-3.6641719,40.3826661
"PZ CANOVAS DEL CASTILLO                 ",-3.6948216,40.415249
"CONVENIO 25                             ",-3.6718112,40.3919044
"SESEÑA-AV PADRE PIQUER                  ",-3.7679252,40.3951742
"AV CIUDAD DE BARCELONA 108              ",-3.6833212,40.4048426
"BRAVO MURILLO-SAN GERMAN                ",-3.7014739,40.4574847
"AMADOR DE LOS RIOS 8                    ",-3.6908903,40.4277809
"GRAN VIA 26                             ",-3.7013595,40.4201962
"ANTONIO LOPEZ 58                        ",-3.7100072,40.394902
"MENDEZ ALVARO F 168                     ",-3.6843626,40.3993905
"ARROYO OLIVAR-SIERRA CASTILLO           ",-3.6579381,40.3907705
"COSTA BRAVA 16                          ",-3.7092962,40.4985069
"POETA JOAN MARAGALL 60                  ",-3.6914393,40.463102
"POLAN-AV POBLADOS                       ",-3.7347819,40.3738081
"GUTIERRE DE CETINA-ASCAO                ",-3.6411879,40.4298988
"M 500 M 503                             ",-3.7692261,40.4582891
"AV GRAN VIA DE HORTALEZA                ",-3.653557,40.4668944
"PZ EMPERADOR CARLOS V-PO PRADO          ",-3.692776,40.40872
